date,name,pos_percentage,voters_count,url
2013-2-19,Crysis® 3,81,212,https://store.steampowered.com/app/1282690/Crysis_3/?snr=1_7_7_240_150_38
2013-7-25,Germany at War - Soviet Dawn,,,https://store.steampowered.com/app/1383020/Germany_at_War__Soviet_Dawn/?snr=1_7_7_240_150_15
2013-9-23,Pandemic: On the Brink - Roles & Events,,,https://store.steampowered.com/app/622851/Pandemic_On_the_Brink__Roles__Events/?snr=1_7_7_240_150_56
2014-11-18,Dragon Age™ Inquisition,81,174,https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/?snr=1_7_7_240_150_38
2014-12-4,Bloons Monkey City,92,169,https://store.steampowered.com/app/1252780/Bloons_Monkey_City/?snr=1_7_7_240_150_44
2014-3-14,Fortoresse,55,20,https://store.steampowered.com/app/1489840/Fortoresse/?snr=1_7_7_240_150_16
2014-5-30,GearCity,100,14,https://store.steampowered.com/app/285110/GearCity/?snr=1_7_7_240_150_56
2015-10-22,Command:MO - Northern Inferno,,,https://store.steampowered.com/app/1182291/CommandMO__Northern_Inferno/?snr=1_7_7_240_150_56
2015-11-16,STAR WARS™ Battlefront,83,79,https://store.steampowered.com/app/1237980/STAR_WARS_Battlefront/?snr=1_7_7_240_150_37
2015-12-18,The Withering,51,327,https://store.steampowered.com/app/427950/The_Withering/?snr=1_7_7_240_150_56
2015-4-15,Convoy Mod Tools,,,https://store.steampowered.com/app/1231920/Convoy_Mod_Tools/?snr=1_7_7_240_150_50
2015-5-19,GameGuru,72,33,https://store.steampowered.com/app/266310/GameGuru/?snr=1_7_7_240_150_59
2015-8-1,Blue Box Game: BurgerGame,,,https://store.steampowered.com/app/1214890/Blue_Box_Game_BurgerGame/?snr=1_7_7_240_150_26
2016-1-15,Miolhr,,,https://store.steampowered.com/app/418430/Miolhr/?snr=1_7_7_240_150_2
2016-1-22,Blue Box Game: Llama Goes to Market,,,https://store.steampowered.com/app/1214891/Blue_Box_Game_Llama_Goes_to_Market/?snr=1_7_7_240_150_26
2016-4-29,Vengeance,79,227,https://store.steampowered.com/app/384960/Vengeance/?snr=1_7_7_240_150_41
2016-4-29,Vengeance,79,227,https://store.steampowered.com/app/384960/Vengeance/?snr=1_7_7_240_150_42
2016-8-23,"Command:MO LIVE - You Brexit, You Fix it!",,,https://store.steampowered.com/app/1182309/CommandMO_LIVE__You_Brexit_You_Fix_it/?snr=1_7_7_240_150_56
2016-8-8,Yellowlooper,,,https://store.steampowered.com/app/1515730/Yellowlooper/?snr=1_7_7_240_150_13
2017-1-3,Nocko,,,https://store.steampowered.com/app/1548060/Nocko/?snr=1_7_7_240_150_8
2017-10-1,NationWar:Chronicles | 国战:列国志传,68,375,https://store.steampowered.com/app/669320/NationWarChronicles/?snr=1_7_7_240_150_3
