,date,name,pos_percentage,voters_count,url
47,2012-03-06,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),77.0,45.0,https://store.steampowered.com/app/1238020/Mass_Effect_3_N7_Digital_Deluxe_Edition_2012/?snr=1_7_7_240_150_37
49,2013-02-19,Crysis® 3,81.0,212.0,https://store.steampowered.com/app/1282690/Crysis_3/?snr=1_7_7_240_150_38
50,2013-07-25,Germany at War - Soviet Dawn,,,https://store.steampowered.com/app/1383020/Germany_at_War__Soviet_Dawn/?snr=1_7_7_240_150_15
51,2013-09-23,Pandemic: On the Brink - Roles & Events,,,https://store.steampowered.com/app/622851/Pandemic_On_the_Brink__Roles__Events/?snr=1_7_7_240_150_56
48,2013-11-20,Bouboum,63.0,22.0,https://store.steampowered.com/app/1489830/Bouboum/?snr=1_7_7_240_150_16
54,2014-03-14,Fortoresse,55.0,20.0,https://store.steampowered.com/app/1489840/Fortoresse/?snr=1_7_7_240_150_16
55,2014-05-30,GearCity,100.0,14.0,https://store.steampowered.com/app/285110/GearCity/?snr=1_7_7_240_150_56
52,2014-11-18,Dragon Age™ Inquisition,81.0,174.0,https://store.steampowered.com/app/1222690/Dragon_Age_Inquisition/?snr=1_7_7_240_150_38
53,2014-12-04,Bloons Monkey City,92.0,169.0,https://store.steampowered.com/app/1252780/Bloons_Monkey_City/?snr=1_7_7_240_150_44
59,2015-04-15,Convoy Mod Tools,,,https://store.steampowered.com/app/1231920/Convoy_Mod_Tools/?snr=1_7_7_240_150_50
60,2015-05-19,GameGuru,72.0,33.0,https://store.steampowered.com/app/266310/GameGuru/?snr=1_7_7_240_150_59
61,2015-08-01,Blue Box Game: BurgerGame,,,https://store.steampowered.com/app/1214890/Blue_Box_Game_BurgerGame/?snr=1_7_7_240_150_26
56,2015-10-22,Command:MO - Northern Inferno,,,https://store.steampowered.com/app/1182291/CommandMO__Northern_Inferno/?snr=1_7_7_240_150_56
