date,name,pos_percentage,voters_count,url
2016-07-10,Super Space Slayer 2,,,https://store.steampowered.com/app/1141280/Super_Space_Slayer_2/?snr=1_7_7_240_150_46
2016-07-29,Swamp Castle,,,https://store.steampowered.com/app/1250120/Swamp_Castle/?snr=1_7_7_240_150_37
2016-07-29,Swamp Castle,,,https://store.steampowered.com/app/1250120/Swamp_Castle/?snr=1_7_7_240_150_37
2017-03-20,Mass Effect™: Andromeda Deluxe Edition,78.0,165.0,https://store.steampowered.com/app/1238000/Mass_Effect_Andromeda_Deluxe_Edition/?snr=1_7_7_240_150_37
2017-06-02,Adventure Field™ 3 Definitive Edition,,,https://store.steampowered.com/app/1269600/Adventure_Field_3_Definitive_Edition/?snr=1_7_7_240_150_43
2017-07-08,Cicadas - The IQA Edition,,,https://store.steampowered.com/app/846660/Cicadas__The_IQA_Edition/?snr=1_7_7_240_150_59
2017-07-27,HammerHelm,84.0,169.0,https://store.steampowered.com/app/664000/HammerHelm/?snr=1_7_7_240_150_2
2017-08-01,an Orc's Tale: Kriegsruf,75.0,28.0,https://store.steampowered.com/app/676070/an_Orcs_Tale_Kriegsruf/?snr=1_7_7_240_150_3
2017-08-12,The Cruxis Sword,,,https://store.steampowered.com/app/1186720/The_Cruxis_Sword/?snr=1_7_7_240_150_55
2017-08-24,Mass Effect™: Andromeda Salarian Infiltrator Multiplayer Recruit Pack,,,https://store.steampowered.com/app/1238013/Mass_Effect_Andromeda_Salarian_Infiltrator_Multiplayer_Recruit_Pack/?snr=1_7_7_240_150_37
2017-08-24,Mass Effect™: Andromeda Krogan Vanguard Multiplayer Recruit Pack,,,https://store.steampowered.com/app/1238012/Mass_Effect_Andromeda_Krogan_Vanguard_Multiplayer_Recruit_Pack/?snr=1_7_7_240_150_37
2017-11-07,Elemental World Part 1:Rise Of The Guardians,,,https://store.steampowered.com/app/340140/Elemental_World_Part_1Rise_Of_The_Guardians/?snr=1_7_7_240_150_52
2017-12-21,Mass Effect™ 3 DLC Bundle,63.0,30.0,https://store.steampowered.com/app/1238030/Mass_Effect_3_DLC_Bundle/?snr=1_7_7_240_150_37
2017-12-31,Cross of Auria,81.0,11.0,https://store.steampowered.com/app/764180/Cross_of_Auria/?snr=1_7_7_240_150_42
2018-02-01,Freeman: Guerrilla Warfare,91.0,82.0,https://store.steampowered.com/app/773951/Freeman_Guerrilla_Warfare/?snr=1_7_7_240_150_59
2018-05-09,Tomscape,,,https://store.steampowered.com/app/1135120/Tomscape/?snr=1_7_7_240_150_50
2018-06-06,Hakoniwa Explorer Plus,85.0,341.0,https://store.steampowered.com/app/705280/Hakoniwa_Explorer_Plus/?snr=1_7_7_240_150_29
2018-07-10,Hero-U: Rogue to Redemption,90.0,225.0,https://store.steampowered.com/app/375440/HeroU_Rogue_to_Redemption/?snr=1_7_7_240_150_44
2018-07-27,武侠乂 The Swordsmen X,18.0,16.0,https://store.steampowered.com/app/840140/_The_Swordsmen_X/?snr=1_7_7_240_150_41
2018-08-11,"Elven Magic: The Witch, The Elf & The Fairy",,,https://store.steampowered.com/app/923140/Elven_Magic_The_Witch_The_Elf__The_Fairy/?snr=1_7_7_240_150_42
2018-08-30,RESEQUENCED,67.0,67.0,https://store.steampowered.com/app/845490/RESEQUENCED/?snr=1_7_7_240_150_41
2018-09-13,BoxxyQuest: The Gathering Storm,,,https://store.steampowered.com/app/1288030/BoxxyQuest_The_Gathering_Storm/?snr=1_7_7_240_150_40
2018-09-14,Superior Wizards,,,https://store.steampowered.com/app/926610/Superior_Wizards/?snr=1_7_7_240_150_22
2018-09-28,Zombie Flick | 僵尸快打,50.0,44.0,https://store.steampowered.com/app/906680/Zombie_Flick/?snr=1_7_7_240_150_2
2018-09-29,Obsolete Souls™,,,https://store.steampowered.com/app/1319720/Obsolete_Souls/?snr=1_7_7_240_150_26
2018-10-05,SpaceBourne,81.0,477.0,https://store.steampowered.com/app/732240/SpaceBourne/?snr=1_7_7_240_150_33
2018-10-25,TITAN HUNTER,,,https://store.steampowered.com/app/955700/TITAN_HUNTER/?snr=1_7_7_240_150_48
2018-10-30,Save me Mr Tako: Definitive Edition,,,https://store.steampowered.com/app/1472540/Save_me_Mr_Tako_Definitive_Edition/?snr=1_7_7_240_150_1
2018-12-04,Aeon of Sands - The Trail,86.0,73.0,https://store.steampowered.com/app/907820/Aeon_of_Sands__The_Trail/?snr=1_7_7_240_150_42
2018-12-08,kraken's curse,78.0,14.0,https://store.steampowered.com/app/1206720/krakens_curse/?snr=1_7_7_240_150_50
2018-12-10,DarkDIRE: The Advanced Set,,,https://store.steampowered.com/app/800550/DarkDIRE_The_Advanced_Set/?snr=1_7_7_240_150_10
2018-12-27,Life of a Mercenary,,,https://store.steampowered.com/app/1245820/Life_of_a_Mercenary/?snr=1_7_7_240_150_37
2018-12-27,Life of a Mercenary,,,https://store.steampowered.com/app/1245820/Life_of_a_Mercenary/?snr=1_7_7_240_150_37
2018-12-29,The Sacred Stone,,,https://store.steampowered.com/app/432410/The_Sacred_Stone/?snr=1_7_7_240_150_5
2018-12-31,Respublica,63.0,11.0,https://store.steampowered.com/app/886160/Respublica/?snr=1_7_7_240_150_35
2019-01-31,Rending Sky,37.0,40.0,https://store.steampowered.com/app/960150/Rending_Sky/?snr=1_7_7_240_150_52
2019-02-12,Robot Paradise VR,,,https://store.steampowered.com/app/1291470/Robot_Paradise_VR/?snr=1_7_7_240_150_40
2019-02-13,Featherfall,88.0,100.0,https://store.steampowered.com/app/1214450/Featherfall/?snr=1_7_7_240_150_50
2019-02-14,New World Horizon,69.0,13.0,https://store.steampowered.com/app/1017670/New_World_Horizon/?snr=1_7_7_240_150_52
2019-02-19,Season of War (Alpha),,,https://store.steampowered.com/app/957810/Season_of_War_Alpha/?snr=1_7_7_240_150_10
2019-03-12,The Mercenary Rise,55.0,72.0,https://store.steampowered.com/app/1018060/The_Mercenary_Rise/?snr=1_7_7_240_150_59
